,asset_name,asset_name,{true;false},{true;false},{true;false},{true;false},kEUR/MWh,kEUR/MW/year,MW,MW,MW,MW,p.u.
carrier,from_asset,to_asset,active,is_transport,investable,investment_integer,variable_cost,investment_cost,investment_limit,capacity,initial_export_capacity,initial_import_capacity,efficiency
electricity,NL_E_Balance,BE_E_Demand,True,True,False,False,14,2.6957550984694505,,1000,3400,0,0.9
electricity,BE_E_Balance,NL_E_Demand,True,True,False,False,14,2.6957550984694505,,1000,3400,0,0.9
electricity,NL_E_Balance,NL_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,NL_E_ENS,NL_E_Demand,True,False,True,False,1000.0,0.0,,1000,0,0,1.0
electricity,NL_Wind_Onshore,NL_E_Balance,True,False,True,False,2.06,0.0,,1000,0,0,1.0
electricity,NL_Wind_Offshore,NL_E_Balance,True,False,True,False,4.17,0.0,,1000,0,0,1.0
electricity,NL_Solar,NL_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,NL_E_Balance,NL_Battery,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,NL_Battery,NL_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,NL_Battery,NL_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
hydrogen,NL_Blue_Hydrogen,NL_H_Demand,True,False,True,False,57.25,0.0,,1000,0,0,1.0
electricity,NL_E_Balance,NL_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
hydrogen,NL_PEMEC,NL_H2Tank,True,False,True,False,0.0,0.0,,1000,0,0,0.585
hydrogen,NL_PEMEC,NL_H_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.585
electricity,NL_PEMFC,NL_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.5
hydrogen,NL_H2Tank,NL_PEMFC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
hydrogen,NL_H2Tank,NL_H_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,BE_E_Balance,BE_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,BE_E_ENS,BE_E_Demand,True,False,True,False,1000.0,0.0,,1000,0,0,1.0
electricity,BE_Wind_Onshore,BE_E_Balance,True,False,True,False,2.06,0.0,,1000,0,0,1.0
electricity,BE_Wind_Offshore,BE_E_Balance,True,False,True,False,4.17,0.0,,1000,0,0,1.0
electricity,BE_Solar,BE_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,BE_Hydro,BE_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,BE_E_Balance,BE_Battery,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,BE_Battery,BE_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,BE_Battery,BE_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
hydrogen,BE_Blue_Hydrogen,BE_H_Demand,True,False,True,False,57.25,0.0,,1000,0,0,1.0
electricity,BE_E_Balance,BE_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
hydrogen,BE_PEMEC,BE_H2Tank,True,False,True,False,0.0,0.0,,1000,0,0,0.585
hydrogen,BE_PEMEC,BE_H_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.585
electricity,BE_PEMFC,BE_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.5
hydrogen,BE_H2Tank,BE_PEMFC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
hydrogen,BE_H2Tank,BE_H_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,DE_E_Balance,NL_E_Demand,True,True,False,False,38,2.6957550984694505,,1000,5000,0,0.9
electricity,NL_E_Balance,DE_E_Demand,True,True,False,False,38,2.6957550984694505,,1000,5000,0,0.9
electricity,DE_E_Balance,BE_E_Demand,True,True,False,False,39,2.6957550984694505,,1000,1000,0,0.9
electricity,BE_E_Balance,DE_E_Demand,True,True,False,False,39,2.6957550984694505,,1000,1000,0,0.9
electricity,DE_E_Balance,DE_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,DE_E_ENS,DE_E_Demand,True,False,True,False,1000.0,0.0,,1000,0,0,1.0
electricity,DE_Wind_Onshore,DE_E_Balance,True,False,True,False,2.06,0.0,,1000,0,0,1.0
electricity,DE_Wind_Offshore,DE_E_Balance,True,False,True,False,4.17,0.0,,1000,0,0,1.0
electricity,DE_Solar,DE_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
