,{producer;consumer;storage;hub;conversion},{true;false},{true;false},{true;false},kEUR/MW/year,MW,MW,MW,MW,{true;false},MWh/year,MWh,MWh,h
name,type,active,investable,investment_integer,investment_cost,investment_limit,capacity,initial_capacity,peak_demand,is_seasonal,storage_inflows,initial_storage_capacity,initial_storage_level,energy_to_power_ratio
NL_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
NL_E_Demand,consumer,True,False,False,0.0,,0.0,0.0,21291.22,False,0,0.0,0.0,0
NL_E_ENS,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,0.0,0
NL_Wind_Onshore,producer,True,True,False,77356.32865703155,7976.0,1000.0,0.0,0.0,False,0,0.0,0.0,0
NL_Wind_Offshore,producer,True,True,False,119732.61777406993,,1000.0,0.0,0.0,False,0,0.0,0.0,0
NL_Solar,producer,True,True,False,34342.98027538492,,1000.0,0.0,0.0,False,0,0.0,0.0,0
NL_Battery,storage,True,True,False,77577.8503057667,,1000.0,0.0,0.0,False,0,0.0,,3
NL_H_Demand,consumer,True,False,False,0.0,,0.0,0.0,6090.833333333333,False,0,0.0,,0
NL_Blue_Hydrogen,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,,0
NL_PEMEC,conversion,True,True,False,69706.05505619879,,1000.0,0.0,0.0,False,0,0.0,,0
NL_PEMFC,conversion,True,True,False,147495.02600554653,,1000.0,0.0,0.0,False,0,0.0,,0
NL_H2Tank,storage,True,True,False,12682.673923355702,,1000.0,0.0,0.0,False,0,0.0,,4
BE_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
BE_E_Demand,consumer,True,False,False,0.0,,0.0,0.0,14380.34,False,0,0.0,0.0,0
BE_E_ENS,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,0.0,0
BE_Wind_Onshore,producer,True,True,False,77356.32865703155,4669.0,1000.0,0.0,0.0,False,0,0.0,0.0,0
BE_Wind_Offshore,producer,True,True,False,119732.61777406993,,1000.0,0.0,0.0,False,0,0.0,0.0,0
BE_Solar,producer,True,True,False,34342.98027538492,,1000.0,0.0,0.0,False,0,0.0,0.0,0
BE_Hydro,producer,True,False,False,0.0,,1372.0,1372.0,0.0,False,0,0.0,0.0,0
BE_Battery,storage,True,True,False,77577.8503057667,,1000.0,0.0,0.0,False,0,0.0,,3
BE_H_Demand,consumer,True,False,False,0.0,,0.0,0.0,2634.1666666666665,False,0,0.0,,0
BE_Blue_Hydrogen,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,,0
BE_PEMEC,conversion,True,True,False,69706.05505619879,,1000.0,0.0,0.0,False,0,0.0,,0
BE_PEMFC,conversion,True,True,False,147495.02600554653,,1000.0,0.0,0.0,False,0,0.0,,0
BE_H2Tank,storage,True,True,False,12682.673923355702,,1000.0,0.0,0.0,False,0,0.0,,4
DE_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
DE_E_Demand,consumer,True,False,False,0.0,,0.0,0.0,90152.0,False,0,0.0,0.0,0
DE_E_ENS,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,0.0,0
DE_Wind_Onshore,producer,True,True,False,77356.32865703155,75372.0,1000.0,0.0,0.0,False,0,0.0,0.0,0
DE_Wind_Offshore,producer,True,True,False,119732.61777406993,,1000.0,0.0,0.0,False,0,0.0,0.0,0
DE_Solar,producer,True,True,False,34342.98027538492,,1000.0,0.0,0.0,False,0,0.0,0.0,0
DE_Hydro,producer,True,False,False,0.0,,15055.0,15055.0,0.0,False,0,0.0,0.0,0
