,,,{uniform;explicit;math},
from_asset,to_asset,rep_period,specification,partition
NL_E_Balance,BE_E_Demand,1,uniform,4
BE_E_Balance,NL_E_Demand,1,uniform,4
NL_E_Balance,NL_E_Demand,1,uniform,4
NL_E_ENS,NL_E_Demand,1,uniform,4
NL_Wind_Onshore,NL_E_Balance,1,uniform,4
NL_Wind_Offshore,NL_E_Balance,1,uniform,4
NL_Solar,NL_E_Balance,1,uniform,4
NL_E_Balance,NL_Battery,1,uniform,4
NL_Battery,NL_E_Demand,1,uniform,4
NL_Battery,NL_PEMEC,1,uniform,4
NL_Blue_Hydrogen,NL_H_Demand,1,uniform,4
NL_E_Balance,NL_PEMEC,1,uniform,4
NL_PEMEC,NL_H2Tank,1,uniform,4
NL_PEMEC,NL_H_Demand,1,uniform,4
NL_PEMFC,NL_E_Demand,1,uniform,4
NL_H2Tank,NL_PEMFC,1,uniform,4
NL_H2Tank,NL_H_Demand,1,uniform,4
BE_E_Balance,BE_E_Demand,1,uniform,4
BE_E_ENS,BE_E_Demand,1,uniform,4
BE_Wind_Onshore,BE_E_Balance,1,uniform,4
BE_Wind_Offshore,BE_E_Balance,1,uniform,4
BE_Solar,BE_E_Balance,1,uniform,4
BE_Hydro,BE_E_Balance,1,uniform,4
BE_E_Balance,BE_Battery,1,uniform,4
BE_Battery,BE_E_Demand,1,uniform,4
BE_Battery,BE_PEMEC,1,uniform,4
BE_Blue_Hydrogen,BE_H_Demand,1,uniform,4
BE_E_Balance,BE_PEMEC,1,uniform,4
BE_PEMEC,BE_H2Tank,1,uniform,4
BE_PEMEC,BE_H_Demand,1,uniform,4
BE_PEMFC,BE_E_Demand,1,uniform,4
BE_H2Tank,BE_PEMFC,1,uniform,4
BE_H2Tank,BE_H_Demand,1,uniform,4
DE_E_Balance,NL_E_Demand,1,uniform,4
NL_E_Balance,DE_E_Demand,1,uniform,4
DE_E_Balance,BE_E_Demand,1,uniform,4
BE_E_Balance,DE_E_Demand,1,uniform,4
DE_E_Balance,DE_E_Demand,1,uniform,4
DE_E_ENS,DE_E_Demand,1,uniform,4
DE_Wind_Onshore,DE_E_Balance,1,uniform,4
DE_Wind_Offshore,DE_E_Balance,1,uniform,4
DE_Solar,DE_E_Balance,1,uniform,4
DE_Hydro,DE_E_Balance,1,uniform,4
DE_Hydro_Reservoir,DE_E_Balance,1,uniform,4
DE_E_Balance,DE_Battery,1,uniform,4
DE_Battery,DE_E_Demand,1,uniform,4
DE_Battery,DE_PEMEC,1,uniform,4
DE_E_Balance,DE_Pump_Hydro_Closed,1,uniform,4
DE_Pump_Hydro_Closed,DE_E_Balance,1,uniform,4
DE_E_Balance,DE_Pump_Hydro_Open,1,uniform,4
DE_Pump_Hydro_Open,DE_E_Balance,1,uniform,4
DE_Blue_Hydrogen,DE_H_Demand,1,uniform,4
DE_E_Balance,DE_PEMEC,1,uniform,4
DE_PEMEC,DE_H2Tank,1,uniform,4
DE_PEMEC,DE_H_Demand,1,uniform,4
DE_PEMFC,DE_E_Demand,1,uniform,4
DE_H2Tank,DE_PEMFC,1,uniform,4
DE_H2Tank,DE_H_Demand,1,uniform,4
FR_E_Balance,DE_E_Demand,1,uniform,4
DE_E_Balance,FR_E_Demand,1,uniform,4
FR_E_Balance,BE_E_Demand,1,uniform,4
BE_E_Balance,FR_E_Demand,1,uniform,4
FR_E_Balance,FR_E_Demand,1,uniform,4
FR_E_ENS,FR_E_Demand,1,uniform,4
FR_Wind_Onshore,FR_E_Balance,1,uniform,4
FR_Wind_Offshore,FR_E_Balance,1,uniform,4
FR_Solar,FR_E_Balance,1,uniform,4
FR_Hydro,FR_E_Balance,1,uniform,4
FR_Hydro_Reservoir,FR_E_Balance,1,uniform,4
